value
green
silver
black
purple
yellow
red
white
gray
gold
blue

pink
sierra blue
black titanium
white titanium
blue titanium
natural titanium
black(8/16 gb)
white (16 gb)
black/slate
white/silver
rose gold
jet black
coral
quite black
very silver
really blue
kinda blue
just black
clearly white
black & white
not pink
purpleish
oh so orange
barely blue
sorta sage
mostly black
sorta seafoam
kinda coral
stormy black
cloudy white
sorta sunny
chalk
charcoal
sage
obsidian
lemongrass
snow
hazel
sea
rose
mint
porcelain
bay
aloe
phantom blue
phantom green
glacier grey
lily white
sky blue
sapphire blue
violet
icelandic frost
emerald green
icelandic white
phantom red
magic night black
blue/pink
phantom black
icelandic illusion
starry blue
cyan lake
gradient blue
gradient red
titanium silver
neon purple
dark blue
galaxy silver
ultraviolet sunset
turquoise
gradient
butterfly feather red
white/black
frost crystal
amber red
honor code
sea blue
white / gold (lte model)
dark gray
crystal silver
ocean blue
pearl white
navy blue
crystal blue
platinum light gold
aurora blue
nebula purple
blue bird
robin egg blue
glacier gray
navy
seagull gray
magic nightfall
diamond silver
peacock blue
lavender purple
charm sea blue
charm red
phantom purple
golden black
porcelain white
gradient black
burnt orange
silk black
silk purple
agate gray
cyan
orange
golden hour (vegan leather)
blue hour (vegan leather)
ceramic black
ceramic white
glacier blue
meadow green
sunrise orange
agate grey
frozen berry
player edition red
player edition black
silver/pink
platinum gold
magic black
blue water emerald
jasper green
dark night black
light blue
dark green
glossy black
textured black
elegant white
vibrant yellow
cherry blossom pink
burgundy
galaxy black
beach gold
saphire blue
silver/violet
racing black
green. aurora
flowing silver
glamorous green
carbon gray
topaz gold
glacier silver
camellia red
brown
polar white
stone black
royal blue
valentine lux
mint green
cool black
warm silver
star can blue
jasmine white
smoky black
pretty blue
crystal green
dawn orange
twilight black
wave gold
starry night black
meridian gray
white birch
black onyx
vanilla white
dark grey
slate gray
stealth black
lacquer black
fervor red 526g+ glacier blue
stealth black 526g
marble white
milkyway gray
saffron gray
santorini white
tangerine white
tuxedo gray
purple fire
blue lagoon
black gold
cappuccino brown
tuxedo grey
milkyway grey
saffron grey
flamingo grey
blue misty
monarch orange
dovetail gray
marshmallow white
white/blue
white/red
flamenco red
radical yellow
prussian blue
black/white
plum
active black
active navy
metallic black
metallic navy
pale blue
brown (teflon coating)
white (teflon coating)
misty gray
gunmetal gray
glacial silver
amber gold
opal silver
garnet
meteor gray
classic rose gold
gold sepia
white luxury
roast chestnut
silver/rose gold
gold/pink
silver/gold
silver gold
dazzling gold
meteor grey
glacial silver amber gold
active white
metal silver
clearwater
hourglass
black/silver
metal grey
lilac
ice white
black/grey
soft black
wasabi green
sophisticated black
noble gold
sparkle blue
modern brown
storm gray
brilliant black
cosmetic pink
amazing silver
solar red
translucent black
moonlight blue
twilight purple
translucent blue
flame red
extraordinary purple
modest green
aqua blue
roland violet
snow white
coffee black
blue/violet
night black
domino
fiesta red
atlantic blue
highrise gray
california blue
limelight yellow
pure white
matt black
luxury silver
black/red
black/green
white/ color sides
crystal black
obsidian black
moonlight silver
soft pink
coral pink
acacia red
red tea orange
emerald
breathing crystal
crush green
blush gold
aurora purple
modern black
amber brown
nebula blue
coral red
mocha brown
champagne gold
pink gold
prestige gold
diamond black
titanium gray
twilight
red (china only)
phantom silver
cosmic purple
forest green
mystic silver
collector edition
ink blue
light gold
agate red
topaz blue
haze gold
titanium grey
luxurious gold
mystic champagne
interstellar blue
collector’s edition black/white/red
aluminium
frost
starry silver
starry black
grass green
streamer gold
iris purple
airy blue
primrose gold
aurora
crush blue
midsummer purple
provence
light pink/blue
sakura pink
powder pink
dazzling blue
greenery
klein blue
charming red
amber sunrise
misty lavender
mystic blue
silver frost
frost silver
skyline gray
white ceramic
black ceramic
cocoa gold
charm pink
galaxy blue
cocoa tea gold
rococo pearl
azure blue
seashore gold
mystic champagne (16 gb model) carbon black
prestige gold (64 gb model)
quartz grey
gren
black body / blue
yellow backpanels
yellow and purple
arctic white
sand gold
rose pink
orchid blue
grey/prestige
gold/silver
onyx black
golden
knight black
stardust blue
sprite
electric violet
metallic sage
tahiti blue
aurora gray
pearl sakura
laser yellow
white/gold
fine gold
venom black
black/gray
titanium white
ultimate black
vengeance red
blazing blue
lava red
tuxedo black
cherry red
gunmetal grey
silver grey
grey
titanium
black/orange
flamingo red
charcoal black
soft orange
platinum silver
platinum
crimson
rock pink
electric blue
carbon black
starry night grey
love orange
titanium blue
blue/green
titanium black
warm red
sand
fjord
dusk
pewter/black
pewter/white
copper/black
blue/copper
blue/silver
grey/silver
steel
tungsten black
cyan green
classic blue
metallic sand
lush green
pop pink
voice 71db / noise 65db / ring 75db
voice 69db / noise 65db / ring 71db
silver white
tempered blue
copper white
black/chrome
white/iron
voice 69db / noise 69db / ring 71db
voice 65db / noise 65db / ring 75db
voice 67db / noise 66db / ring 75db
voice 71db / noise 66db / ring 76db
pink sand
copper
glacier white
baltic sea blue
polar night
black/white with covers in black
khaki
voice 74db / noise 66db / ring 71db
contrast ratio: 743:1 (nominal) / 2.134:1 (sunlight)
